"","PID","crt","mean_honesty_rating","lie_detect_dprime","lie_prop","age","gender","ed_lev","(Intercept)","normed_signed_e_v","normed_unsigned_e_v","subject_liedTRUE","subject_lostTRUE"
"22","5cdff2a3ec6e1e001b40ea7d",0,3.93333333333333,0.0177249324571198,0.277777777777778,34,1,2,0,0.294174707606235,0.44668326115062,0.105871975691255,0.0148513996143786
"23","5ce45c591bf7c90001505825",4,4.31111111111111,0,0,37,0,5,0,0.318090961315898,0.507128710773117,NA,-0.0853259801680239
"24","5d39a06d60e449001eff2b0f",3,2.33333333333333,0.236386412905454,0,23,0,6,0,0.401829625449693,0.467962714208228,NA,-0.179213227882947
"25","5d4a7036c068b4001d0beebe",4,2.67777777777778,0,0.544444444444444,36,1,3,0,0.239918460001629,0.536138074663523,0.00323287200700049,0.00952336934284915
"26","5d5dc0bca4dd6a0018af21cf",4,1.67777777777778,0.10987002985841,0.611111111111111,34,0,6,0,0.511495757147931,0.155985950047548,0.0343489047233289,-0.15177237683255
"27","5d72f471515c8b0001ed07fc",2,3.13333333333333,0.0340019717441393,0.444444444444444,21,1,3,0,0.383823591557105,0.171041560964518,-0.119723374631891,NA
"28","5dad8d988b0c9d001636e2b8",2,2.45555555555556,0.189062715926099,0.211111111111111,51,1,5,0,0.50119001974292,0.157072706000464,-0.114755883873724,-0.0145322864644624
"29","5db95ab98f3368000c8922f4",1,3.4,0.0600074098655973,0.377777777777778,24,1,6,0,0.302534797623993,0.408690319978717,-0.0933739365570938,-0.133702201899015
"30","5e2e7d79acf5fe45b62f859a",3,2.6,0.0801839794277918,0.222222222222222,32,1,6,0,0.0300675691594158,0.569258256478634,0.070504600759901,0.185720518549679
"31","5e2edcd3744c694aa3fab543",1,2.64444444444444,0.153842412698704,0.0111111111111111,22,0,2,0,0.310892761797478,0.440401269176425,0.155344692344166,-0.0138238326939095
"32","5e5d824268168509ca89806f",4,3.47777777777778,0.0265764643003651,0.544444444444444,46,1,3,0,0.56520015432805,0.211152509511727,0.0864904895656629,-0.0912681600091707
"33","5e70d17c2a461402e1567b7b",4,3,0.184002153978345,0.111111111111111,33,1,5,0,0.369124519975179,0.461140129064351,0.0571609093693695,-0.145925989585602
