"","PID","crt","mean_suspicion_rating","age","gender","ed_lev","lie_prop_redpick","dprime","beta","hitrate","farate","acc","n_lied_self","tp","fp","subject_lostTRUE","subject_liedTRUE","normed_signed_e_v","normed_unsigned_e_v","dprime_art","beta_art","hitrate_art","farate_art","acc_art"
"38","5ed0dc47fd66121c75e88443",3,3.5,38,0,5,0.916666666666667,1.3150028598241,1.04651662932019,0.733333333333333,0.244444444444444,0.744444444444444,45,33,11,0.0719154986369591,0.0506848448886784,0.57275514278406,0.381697857238059,1.1200787543895,1.50307891412362,0.577777777777778,0.177777777777778,0.7
"39","5eda87309c985569eb4cb2e0",3,3.3,44,1,3,0.0655737704918033,0.873183038562829,1.65403370243194,0.444444444444444,0.155555555555556,0.644444444444444,8,20,7,0.18344204722018,0.0131800227108145,0.221420623373895,0.0760935473299292,1.85451457101761,0.853155623035768,0.844444444444444,0.2,0.822222222222222
"40","5edd630ac419bf0ed18c99b5",4,3.4,40,0,5,0,0.831787435495875,0.794751415837362,0.755555555555556,0.444444444444444,0.655555555555556,0,34,20,1.00315533563987,0,-0.599902971748585,0.379463492299913,1.39825485464013,1.22047808672742,0.711111111111111,0.2,0.755555555555556
"41","5ee14621de2a9d521f4b8ac9",1,2.38888888888889,33,1,5,0,0,1,0.0222222222222222,0.0222222222222222,0.5,1,1,1,0.0593509477157799,-0.0188194356914508,0.420706546722682,0.021273927367344,1.7049704740587,1.3145456268505,0.755555555555556,0.155555555555556,0.8
"42","5ef3efcb420ab11a45a0b8a6",1,3.6,22,0,5,0.203703703703704,0.934248102854229,0.864540249959713,0.733333333333333,0.377777777777778,0.677777777777778,19,33,17,0.491798706898894,0.0509656224987146,-0.0531386675472817,0.242040249591149,1.6885766945307,0.874262422848903,0.822222222222222,0.222222222222222,0.8
"43","5efca932f2f942072e5f81f0",2,3.24444444444444,21,1,9,0.84,1.44362063674015,1.52228645807169,0.666666666666667,0.155555555555556,0.755555555555556,42,30,7,0.00402205246415649,0.000523542316196879,0.592994366827218,0.346748315681861,1.91271748546136,1.65780767054209,0.755555555555556,0.111111111111111,0.822222222222222
"44","5f0c866a16b2120d2236bd22",2,3.81111111111111,25,1,6,0.0175438596491228,0.507534113289325,0.9712112357353,0.622222222222222,0.422222222222222,0.6,6,28,19,0.0443637700452438,0.00577120607368667,0.0681273621100445,0.239407870725968,1.73369733984687,0.655151636623742,0.866666666666667,0.266666666666667,0.8
"45","5f1068965807420374b9c1ae",3,2.21111111111111,60,1,5,0,-0.0691514134039255,0.955550988854894,0.244444444444444,0.266666666666667,0.488888888888889,1,11,12,-0.199034340018315,-0.0120736437306536,0.256504109967594,0.00212789144225538,1.4567868104004,1.05432954345876,0.755555555555556,0.222222222222222,0.766666666666667
"46","5f2aec7bad745643d7271f4c",1,2.88888888888889,25,1,5,0.5625,0.873183038562829,1.65403370243194,0.444444444444444,0.155555555555556,0.644444444444444,27,20,7,0.00587324807492162,0.00456380565368833,0.679795934787095,0.159645141872726,1.73369733984687,1.52636419433125,0.733333333333333,0.133333333333333,0.8
"47","5f31454776609f5f32bb6004",3,3.8,26,0,5,0,1.71334368190739,0.536009634417773,0.888888888888889,0.311111111111111,0.788888888888889,1,40,14,-0.0605998873100013,-0.0776362110863194,0.43064988948527,0.252428887866108,1.76548825431723,0.929970898175285,0.822222222222222,0.2,0.811111111111111
"48","5f3146c0e8a9536043a627d4",3,3,48,1,6,1,1.54149891593224,1.68901207834923,0.666666666666667,0.133333333333333,0.766666666666667,56,30,6,0,-0.143710591976429,0.812139593025436,0.243373905325391,1.77760301123108,1.24680716290856,0.777777777777778,0.155555555555556,0.811111111111111
"49","5f32486253e14b0451ec5912",0,3.72222222222222,30,1,2,0.950819672131147,1.06244138142077,0.84290540079994,0.755555555555556,0.355555555555556,0.7,59,34,16,0.0076576416947888,-0.000622009686977677,0.386077779895033,0.480259479024584,1.5467927439544,0.792354086874379,0.822222222222222,0.266666666666667,0.777777777777778
"50","5f36cd2444884c0f7ff186f6",0,2.4,21,1,2,0.457627118644068,-0.334735540130194,0.673629286566728,0.0888888888888889,0.155555555555556,0.466666666666667,47,4,7,0.381235424619705,-0.000342319104230839,-0.00889510223009634,0.00524154728996635,1.54149891593224,1.68901207834923,0.666666666666667,0.133333333333333,0.766666666666667
"51","5f3d6f7010ad88124f3906e2",3,3.06666666666667,24,0,3,0.765957446808511,1.11562905627013,1.0753432802979,0.688888888888889,0.266666666666667,0.711111111111111,36,31,12,-0.00946460003746333,-0.0672511389830515,0.585201861994611,0.427010022715805,1.77760301123108,1.24680716290856,0.777777777777778,0.155555555555556,0.811111111111111
"52","5f4cfa7d6a1d1208290ad728",1,4.06666666666667,27,0,2,0.913793103448276,0.5205583600455,0.886042522319548,0.688888888888889,0.488888888888889,0.6,53,31,22,-3.52093683268865e-05,-0.004975710274092,0.400222344994807,-0.0108416472692618,1.61594415735833,1.20596461188745,0.755555555555556,0.177777777777778,0.788888888888889
"53","5f63200376dee328ac929c62",4,2.75555555555556,22,1,5,0.981818181818182,1.30487421239884,3.02641874000722,0.422222222222222,0.0666666666666667,0.677777777777778,54,19,3,0,0.0371683420066374,0.699097860635226,0.236145345623091,1.39825485464013,1.22047808672742,0.711111111111111,0.2,0.755555555555556
"54","5f86195dd152441468676e7b",1,1.84444444444444,32,1,5,0.0740740740740741,-0.0890263167003793,0.9174003452256,0.155555555555556,0.177777777777778,0.488888888888889,4,7,8,0.0116271617850893,0.471091568655186,0.0277301116206181,-0.328913713003452,1.24871075768122,0.918912027574202,0.755555555555556,0.288888888888889,0.733333333333333
"55","5f9e0b03428ebf3b96bbb035",0,2.26666666666667,33,1,3,0.196428571428571,1.3869490489853,6.20763553128663,0.266666666666667,0.0222222222222222,0.622222222222222,12,12,1,-0.00378322429205762,0.00372383447684615,0.646713928439203,0.142338005634953,1.73369733984687,1.52636419433125,0.733333333333333,0.133333333333333,0.8
"56","5fa6aa44f58492308aa2fc15",3,2.51111111111111,20,0.5,2,0.705882352941177,1.07836244364217,3.50143360134864,0.266666666666667,0.0444444444444444,0.611111111111111,36,12,2,0.00178917120597816,0.00827332440070439,0.638188196677245,0.108165359483758,1.3150028598241,1.04651662932019,0.733333333333333,0.244444444444444,0.744444444444444
"57","5fb24f562595717d5f7ab216",3,3.61111111111111,34,1,5,0,0.876272826345888,0.850504266256027,0.733333333333333,0.4,0.666666666666667,3,33,18,0.255981223939979,0.00515577014627713,0.549438731552246,0,1.44362063674015,0.656906585943569,0.844444444444444,0.333333333333333,0.755555555555556
"58","5fb32a1f69fda0a53751a1b7",0,1.38888888888889,23,1,2,0,0.577218925299712,2.01347960614017,0.177777777777778,0.0666666666666667,0.555555555555556,0,8,3,0.00836008344631058,0,0.113001252557408,0.026159340369947,1.84773404148862,1,0.822222222222222,0.177777777777778,0.822222222222222
"59","5fd4d08021ce43067dbc7bba",4,3.3,39,1,2,1,1.6063309073593,1.06372054187672,0.777777777777778,0.2,0.788888888888889,61,35,9,0,0.0143076424537129,0.743138226962832,0.351763368159312,1.48050064181152,1.31238309620457,0.711111111111111,0.177777777777778,0.766666666666667
"60","5fefbee02c2ee6e7ad30b24d",3,2.74444444444444,26,1,6,1,0.977264632768126,2.31513258704841,0.355555555555556,0.0888888888888889,0.633333333333333,50,16,4,0,0.113584150644991,0.490871108749828,0.305448937161456,1.24585144642018,1,0.733333333333333,0.266666666666667,0.733333333333333
"61","6004773518dc462500aff1ae",2,2.92222222222222,44,1,6,0,0.854925544514844,2.19607902444967,0.311111111111111,0.0888888888888889,0.611111111111111,1,14,4,-0.00658296267808289,0.00178279731411848,0.457701507829534,0.0162611796250515,1.27234853286837,1.29874725157506,0.666666666666667,0.2,0.733333333333333
